Course Section,Course Subject,Course Number,Section Number,Section Status,Enrolled/Capacity,All Instructors,Units,Meeting Patterns,Locations,Course Tags,Instructional Format,Delivery Mode,Start Date,End Date,Academic Period,Overlapping Course(s)
BIOL 1A-1 - Transformations of Energy and Matter L and L,Biology,1A,1,Open,0/60,Brody Sandel,4,T Th | 8:30 AM - 10:10 AM,Rm 103 Alameda hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOL 1A-2 - Transformations of Energy and Matter L and L,Biology,1A,2,Open,0/60,Pascale Guiton,4,T Th | 10:20 AM - 12:00 PM,Rm 103 Alameda hall,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOL 1A-3 - Transformations of Energy and Matter L and L,Biology,1A,3,Open,0/24,Erin Schwartz,4,T | 10:20 AM - 1:05 PM,RM 3207 SCDI,,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOL 1A-4 - Transformations of Energy and Matter L and L,Biology,1A,4,Open,0/24,Pascale Guiton,4,T | 2:00 PM - 4:45 PM,RM 3207 SCDI,,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOL 1A-5 - Transformations of Energy and Matter L and L,Biology,1A,5,Open,0/24,Pascale Guiton,4,W | 12:15 PM - 3:00 PM,RM 3207 SCDI,,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOL 1A-6 - Transformations of Energy and Matter L and L,Biology,1A,6,Open,0/24,Brody Sandel,4,Th | 12:15 PM - 3:00 PM,RM 3207 SCDI,,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOL 1A-7 - Transformations of Energy and Matter L and L,Biology,1A,7,Open,0/24,Brody Sandel,4,Th | 3:50 PM - 6:35 PM,RM 3207 SCDI,,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOL 1C-1 - Systems L and L,Biology,1C,1,Open,0/60,Angel Islas,5,M W F | 9:15 AM - 10:20 AM,RM 2302 SCDI,Pathways :: Values in Science and Technology,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOL 1C-2 - Systems L and L,Biology,1C,2,Open,0/60,Janice Edgerly Rooks,5,M W F | 10:30 AM - 11:35 AM,RM 2302 SCDI,Pathways :: Values in Science and Technology,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOL 1C-3 - Systems L and L,Biology,1C,3,Open,0/16,Angel Islas,5,T | 10:20 AM - 1:05 PM,RM 3319 SCDI,Pathways :: Values in Science and Technology,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOL 1C-4 - Systems L and L,Biology,1C,4,Open,0/16,Erin Schwartz,5,T | 2:00 PM - 4:45 PM,RM 3319 SCDI,Pathways :: Values in Science and Technology,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOL 1C-5 - Systems L and L,Biology,1C,5,Open,0/16,Erin Schwartz,5,W | 12:15 PM - 3:00 PM,RM 3319 SCDI,Pathways :: Values in Science and Technology,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOL 1C-6 - Systems L and L,Biology,1C,6,Open,0/16,Janice Edgerly Rooks,5,W | 3:50 PM - 6:35 PM,RM 3319 SCDI,Pathways :: Values in Science and Technology,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOL 1C-7 - Systems L and L,Biology,1C,7,Open,0/16,Erin Schwartz,5,Th | 10:20 AM - 1:05 PM,RM 3319 SCDI,Pathways :: Values in Science and Technology,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOL 1C-8 - Systems L and L,Biology,1C,8,Open,0/16,Erin Schwartz,5,Th | 2:00 PM - 4:45 PM,RM 3319 SCDI,Pathways :: Values in Science and Technology,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOL 2-1 - Human Health and Disease L&L,Biology,2,1,Open,0/48,Giorgio Lagna,4,M W F | 9:15 AM - 10:20 AM,Rm 103 Alameda hall,"Core Explorations :: Natural Science

Pathways :: Global Health",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOL 2-2 - Human Health and Disease L&L,Biology,2,2,Open,0/24,Giorgio Lagna,4,F | 10:30 AM - 1:15 PM,RM 2317 SCDI,"Core Explorations :: Natural Science

Pathways :: Global Health",Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOL 2-3 - Human Health and Disease L&L,Biology,2,3,Open,0/24,Giorgio Lagna,4,F | 2:15 PM - 5:00 PM,RM 3307 SCDI,"Core Explorations :: Natural Science

Pathways :: Global Health",Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOL 18-1 - Exploring Biotechnology L+L,Biology,18,1,Open,0/48,Michelle Chartrand,4,M W F | 9:15 AM - 10:20 AM,RM 3115 SCDI,"Core Explorations :: Natural Science

Pathways :: Design Thinking

Pathways :: Values in Science and Technology",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOL 18-2 - Exploring Biotechnology L+L,Biology,18,2,Open,0/12,Michelle Chartrand,4,W | 1:00 PM - 2:30 PM,RM 3303 SCDI,"Core Explorations :: Natural Science

Pathways :: Design Thinking

Pathways :: Values in Science and Technology",Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOL 18-3 - Exploring Biotechnology L+L,Biology,18,3,Open,0/12,Michelle Chartrand,4,W | 2:50 PM - 4:20 PM,RM 3303 SCDI,"Core Explorations :: Natural Science

Pathways :: Design Thinking

Pathways :: Values in Science and Technology",Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOL 18-4 - Exploring Biotechnology L+L,Biology,18,4,Open,0/12,Michelle Chartrand,4,Th | 12:10 PM - 1:40 PM,RM 3303 SCDI,"Core Explorations :: Natural Science

Pathways :: Design Thinking

Pathways :: Values in Science and Technology",Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOL 18-5 - Exploring Biotechnology L+L,Biology,18,5,Open,0/12,Michelle Chartrand,4,Th | 2:00 PM - 3:30 PM,RM 3303 SCDI,"Core Explorations :: Natural Science

Pathways :: Design Thinking

Pathways :: Values in Science and Technology",Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOL 101-1 - Research Seminar,Biology,101,1,Open,0/48,Dawn Hart,2,W | 5:25 PM - 6:30 PM,RM 3116 SCDI,,Seminar,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOL 102-1 - Centering Justice in Science Education Research L&L,Biology,102,1,Open,0/32,Desiree Forsythe,5,T Th | 12:10 PM - 1:50 PM,Rm 019 Sobrato Residence,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOL 102-2 - Centering Justice in Science Education Research L&L,Biology,102,2,Open,0/16,Desiree Forsythe,5,T | 2:15 PM - 5:00 PM,Rm 122 Edward M. Dowd Art & Art History,,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOL 102-3 - Centering Justice in Science Education Research L&L,Biology,102,3,Open,0/16,Desiree Forsythe,5,Th | 2:15 PM - 5:00 PM,Rm 122 Edward M. Dowd Art & Art History,,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOL 104-1 - Human Anatomy L and L,Biology,104,1,Open,0/32,Michelle Badura,5,T Th | 10:20 AM - 12:00 PM,RM 3301 SCDI,,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOL 104-2 - Human Anatomy L and L,Biology,104,2,Open,0/16,Michelle Badura,5,T | 2:15 PM - 5:00 PM,RM 2317 SCDI,,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOL 104-3 - Human Anatomy L and L,Biology,104,3,Open,0/16,Michelle Badura,5,Th | 2:15 PM - 5:00 PM,RM 2317 SCDI,,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOL 106-1 - Health Consequences of a Western Lifestyle,Biology,106,1,Open,0/22,Michele Parker,5,T Th | 8:30 AM - 10:10 AM,Rm 220 Alumni Science Hall,Pathways :: Global Health,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,BIOL 106-/PHSC 124-1
BIOL 113-1 - Microbiology L and L (-),Biology,113,1,Open,0/32,Craig Stephens,5,M W F | 8:00 AM - 9:05 AM,RM 3116 SCDI,Pathways :: Global Health,Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOL 113-2 - Microbiology L and L (-),Biology,113,2,Open,0/16,Craig Stephens,5,T | 2:15 PM - 5:00 PM,RM 3211 SCDI,Pathways :: Global Health,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOL 113-3 - Microbiology L and L (-),Biology,113,3,Open,0/16,Craig Stephens,5,Th | 2:15 PM - 5:00 PM,RM 3211 SCDI,Pathways :: Global Health,Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,
BIOL 117-1 - Epidemiology L and L,Biology,117,1,Open,0/30,Natasha Glendening,5,M W F | 9:15 AM - 10:20 AM,Rm 207 Daly Science 200,"Core Explorations :: Science, Technology and Society

Pathways :: Values in Science and Technology",Lecture,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,BIOL 117-/PHSC 100-1
BIOL 117-2 - Epidemiology L and L,Biology,117,2,Open,0/15,Natasha Glendening,5,W | 2:15 PM - 5:00 PM,Rm 256 Alumni Science Hall,"Core Explorations :: Science, Technology and Society

Pathways :: Values in Science and Technology",Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,BIOL 117-/PHSC 100-2
BIOL 117-3 - Epidemiology L and L,Biology,117,3,Open,0/15,Natasha Glendening,5,F | 2:15 PM - 5:00 PM,Rm 256 Alumni Science Hall,"Core Explorations :: Science, Technology and Society

Pathways :: Values in Science and Technology",Laboratory,In-Person,2026-01-05,2026-03-20,Winter 2026 Quarter,BIOL 117-/PHSC 100-3
